iter	Passed	Remaining
0	145	145711
1	146	73188
2	147	49013
3	148	36962
4	149	29694
5	149	24843
6	150	21368
7	151	18802
8	152	16763
9	152	15126
10	153	13785
11	153	12667
12	154	11724
13	155	10917
14	155	10215
15	156	9605
16	156	9068
17	157	8586
18	158	8159
19	158	7779
20	159	7432
21	160	7122
22	161	6849
23	162	6590
24	162	6352
25	163	6128
26	164	5933
27	165	5744
28	166	5566
29	166	5396
30	167	5249
31	168	5102
32	169	4963
33	170	4835
34	170	4711
35	171	4597
36	172	4487
37	173	4384
38	173	4281
39	174	4187
40	175	4104
41	176	4018
42	177	3942
43	177	3862
44	178	3786
45	179	3714
46	179	3643
47	180	3580
48	181	3515
49	181	3451
50	182	3390
51	182	3333
52	183	3278
53	184	3229
54	185	3179
55	185	3129
56	186	3079
57	186	3032
58	187	2988
59	188	2945
60	188	2904
61	189	2865
62	190	2829
63	190	2793
64	191	2759
65	192	2725
66	193	2690
67	193	2657
68	194	2625
69	195	2593
70	195	2562
71	196	2531
72	197	2502
73	197	2472
74	198	2443
75	198	2417
76	199	2393
77	200	2367
78	200	2342
79	201	2317
80	202	2293
81	202	2269
82	203	2243
83	203	2221
84	204	2200
85	205	2180
86	205	2159
87	206	2138
88	207	2119
89	207	2099
90	208	2081
91	208	2062
92	209	2044
93	210	2025
94	210	2007
95	211	1990
96	212	1974
97	212	1958
98	213	1942
99	214	1927
100	214	1912
101	215	1897
102	216	1881
103	216	1868
104	217	1854
105	218	1845
106	219	1834
107	220	1821
108	221	1809
109	222	1797
110	222	1784
111	223	1772
112	224	1760
113	224	1747
114	225	1735
115	226	1723
116	226	1711
117	227	1699
118	227	1687
119	228	1676
120	229	1665
121	229	1654
122	230	1643
123	231	1633
124	231	1623
125	232	1612
126	233	1602
127	233	1592
128	234	1584
129	235	1576
130	236	1567
131	237	1559
132	237	1550
133	238	1541
134	239	1532
135	239	1524
136	240	1516
137	241	1508
138	242	1500
139	242	1491
140	243	1483
141	243	1474
142	244	1466
143	245	1458
144	246	1451
145	246	1443
146	247	1436
147	248	1428
148	248	1420
149	250	1417
150	250	1410
151	251	1403
152	252	1396
153	253	1390
154	253	1383
155	254	1376
156	255	1370
157	256	1364
158	256	1358
159	257	1351
160	258	1344
161	258	1339
162	259	1333
163	260	1327
164	261	1321
165	261	1315
166	262	1309
167	263	1303
168	263	1297
169	264	1292
170	265	1287
171	266	1281
172	266	1276
173	267	1270
174	268	1265
175	269	1259
176	269	1254
177	270	1248
178	270	1242
179	271	1237
180	272	1232
181	273	1228
182	274	1223
183	274	1219
184	275	1213
185	276	1208
186	276	1203
187	277	1198
188	278	1193
189	278	1188
190	279	1183
191	280	1179
192	280	1174
193	281	1170
194	282	1165
195	282	1160
196	283	1155
197	284	1151
198	284	1146
199	285	1142
200	286	1137
201	286	1132
202	287	1128
203	287	1123
204	288	1118
205	289	1114
206	289	1109
207	290	1105
208	291	1102
209	292	1099
210	292	1095
211	293	1090
212	294	1088
213	295	1084
214	296	1080
215	296	1076
216	297	1072
217	297	1068
218	298	1064
219	299	1060
